userid,propertyuri,weight
1048,http://dbpedia.org/ontology/cinematography,0.067
1048,http://dbpedia.org/ontology/country,0.267
1048,http://dbpedia.org/ontology/deathPlace,0.196
1048,http://dbpedia.org/ontology/director,0.267
1048,http://dbpedia.org/ontology/distributor,0.400
1048,http://dbpedia.org/ontology/editing,0.067
1048,http://dbpedia.org/ontology/language,0.200
1048,http://dbpedia.org/ontology/musicComposer,0.133
1048,http://dbpedia.org/ontology/narrator,0.067
1048,http://dbpedia.org/ontology/pictureFormat,0.000
1048,http://dbpedia.org/ontology/producer,0.133
1048,http://dbpedia.org/ontology/soundRecording,0.133
1048,http://dbpedia.org/ontology/starring,0.067
1048,http://dbpedia.org/ontology/writer,0.267
1048,http://dbpedia.org/property/domesticPartner,0.000
1048,http://dbpedia.org/property/extra,0.067
1048,http://dbpedia.org/property/note,0.067
1048,http://dbpedia.org/property/productionCompanies,0.133
1048,http://dbpedia.org/property/rev,0.200
1048,http://dbpedia.org/property/studio,0.133
1048,http://dbpedia.org/property/title,0.067
1048,http://dbpedia.org/property/writer,0.067
1048,http://purl.org/dc/terms/subject,1.000
1048,http://www.w3.org/2000/01/rdf-schema#seeAlso,0.000
1048,http://www.w3.org/2002/07/owl#differentFrom,0.000
